model,bin,mean_predicted_probability,observed_positive_rate,count,absolute_error,weight
logistic_regression,"(-0.000895, 0.0417]",0.019669764455058733,0.06,400,0.040330235544941265,0.1
logistic_regression,"(0.0417, 0.104]",0.07157935429456469,0.085,400,0.013420645705435316,0.1
logistic_regression,"(0.104, 0.181]",0.14165504119803363,0.0875,400,0.05415504119803363,0.1
logistic_regression,"(0.181, 0.284]",0.2311777694851716,0.13,400,0.1011777694851716,0.1
logistic_regression,"(0.284, 0.4]",0.3391423555789146,0.24,400,0.0991423555789146,0.1
logistic_regression,"(0.4, 0.534]",0.46808110189171864,0.4275,400,0.04058110189171865,0.1
logistic_regression,"(0.534, 0.671]",0.6028251115987889,0.64,400,0.03717488840121108,0.1
logistic_regression,"(0.671, 0.828]",0.7446763402155238,0.7925,400,0.047823659784476225,0.1
logistic_regression,"(0.828, 0.95]",0.8913424815065264,0.9425,400,0.05115751849347361,0.1
logistic_regression,"(0.95, 1.0]",0.9855539834387271,0.985,400,0.0005539834387271458,0.1
decision_tree,"(0.0619, 0.0829]",0.07342163630718576,0.024958402662229616,601,0.048463233644956145,0.15025
decision_tree,"(0.0829, 0.0997]",0.09747579585813816,0.083984375,512,0.013491420858138162,0.128
decision_tree,"(0.0997, 0.107]",0.10588763641436137,0.0967741935483871,124,0.009113442865974278,0.031
decision_tree,"(0.107, 0.206]",0.1440797930520302,0.21927710843373494,415,0.07519731538170474,0.10375
decision_tree,"(0.206, 0.326]",0.2573743873252625,0.26737967914438504,374,0.01000529181912252,0.0935
decision_tree,"(0.326, 0.498]",0.4306037521228477,0.4473007712082262,389,0.016697019085378517,0.09725
decision_tree,"(0.498, 0.816]",0.6672603661294302,0.598014888337469,403,0.06924547779196122,0.10075
decision_tree,"(0.816, 0.893]",0.8628686812048013,0.8226164079822617,451,0.04025227322253966,0.11275
decision_tree,"(0.893, 0.926]",0.9175873254783717,0.960352422907489,454,0.04276509742911727,0.1135
decision_tree,"(0.926, 0.928]",0.9279648513258113,0.9855595667870036,277,0.057594715461192325,0.06925
random_forest,"(0.013999999999999999, 0.0398]",0.02862822185000057,0.0325,400,0.0038717781499994323,0.1
random_forest,"(0.0398, 0.0716]",0.05409554872853435,0.0575,400,0.0034044512714656514,0.1
random_forest,"(0.0716, 0.128]",0.09697831462974951,0.0625,400,0.03447831462974951,0.1
random_forest,"(0.128, 0.229]",0.17548877376012662,0.1675,400,0.007988773760126605,0.1
random_forest,"(0.229, 0.373]",0.2908804899280627,0.2475,400,0.043380489928062704,0.1
random_forest,"(0.373, 0.568]",0.46710742883874035,0.47,400,0.002892571161259627,0.1
random_forest,"(0.568, 0.747]",0.6629055643576695,0.6225,400,0.0404055643576694,0.1
random_forest,"(0.747, 0.868]",0.8093680589286771,0.815,400,0.00563194107132281,0.1
random_forest,"(0.868, 0.948]",0.9144488128186904,0.9225,400,0.008051187181309594,0.1
random_forest,"(0.948, 0.99]",0.9717369789726176,0.9925,400,0.020763021027382478,0.1
xgboost,"(0.0269, 0.0512]",0.03645938011048887,0.04239401496259352,401,0.005934634852104652,0.10025
xgboost,"(0.0512, 0.0937]",0.07321034082419292,0.042606516290726815,399,0.030603824533466106,0.09975
xgboost,"(0.0937, 0.149]",0.12351590065285563,0.08,400,0.04351590065285563,0.1
xgboost,"(0.149, 0.237]",0.18885644499212503,0.1625,400,0.026356444992125028,0.1
xgboost,"(0.237, 0.382]",0.3047528167441487,0.3125,400,0.007747183255851275,0.1
xgboost,"(0.382, 0.541]",0.4576154600828886,0.5025,400,0.04488453991711133,0.1
xgboost,"(0.541, 0.729]",0.6292798890173436,0.6725,400,0.043220110982656434,0.1
xgboost,"(0.729, 0.84]",0.7933201850950717,0.6925,400,0.10082018509507173,0.1
xgboost,"(0.84, 0.94]",0.8941733549535275,0.8925,400,0.001673354953527495,0.1
xgboost,"(0.94, 0.983]",0.9611856856942177,0.99,400,0.028814314305782296,0.1
lightgbm,"(0.0283, 0.0432]",0.03636680237846148,0.035,400,0.0013668023784614777,0.1
lightgbm,"(0.0432, 0.0657]",0.0540149624309542,0.055,400,0.0009850375690457977,0.1
lightgbm,"(0.0657, 0.107]",0.08340212003567132,0.065,400,0.01840212003567132,0.1
lightgbm,"(0.107, 0.186]",0.1418404880423532,0.11,400,0.03184048804235319,0.1
lightgbm,"(0.186, 0.347]",0.25785373054598704,0.215,400,0.04285373054598704,0.1
lightgbm,"(0.347, 0.56]",0.4527863447890452,0.4575,400,0.0047136552109547925,0.1
lightgbm,"(0.56, 0.782]",0.6776452931484833,0.695,400,0.017354706851516633,0.1
lightgbm,"(0.782, 0.9]",0.8475558311043413,0.82,400,0.027555831104341344,0.1
lightgbm,"(0.9, 0.95]",0.9285135443765392,0.95,400,0.021486455623460743,0.1
lightgbm,"(0.95, 0.976]",0.9643225891021181,0.9875,400,0.023177410897881945,0.1
