variable,correlation_abs_target
reste_a_vivre,0.682492256755291
dti_calcule,0.6527746199698998
ratio_credit_revenu,0.41263646911981045
revenu_total,0.3737894982836046
revenu_mensuel,0.35087009125236757
prix_vehicule,0.3495697038425643
montant_credit,0.3455875500064342
epargne_mensuelle,0.33900665668685487
mensualites_existantes,0.296837683791968
charges_mensuelles,0.2925033455927165
credits_en_cours,0.26095785425106405
solde_moyen_compte,0.23190274841131417
apport_personnel,0.22827198430323442
taux_epargne,0.2272231718445014
incidents_paiement_12m,0.16714091544062668
revenu_supplementaire,0.12968839141246988
incident_ou_retard,0.1114324967887372
taux_interet,0.10902224272091526
retards_paiement_12m,0.09875216895485801
duree_mois,0.07710021460378166
age_vehicule,0.02459863732563846
anciennete_bancaire_mois,0.023678562376113023
anciennete_emploi_mois,0.0033370018598906323
mois_demande,0.002871857601688452
annee_demande,0.0011389066926086183
age,0.0011030217754425557
nombre_personnes_charge,0.0003568800960986757
